epoch,train_loss,val_map,val_ap50,val_ap75,lr,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_ap_small,val_ap_medium,val_ap_large,val_ar_1,val_ar_10,val_ar_100,val_ar_small,val_ar_medium,val_ar_large
1,0.623116,0.775317,0.988653,0.951537,0.001000,0.185466,0.367276,0.043149,0.027224,0.140997,0.776555,0.779647,0.019885,0.194794,0.819579,0.452000,0.821837,0.797727
2,0.263656,0.792538,0.989204,0.963849,0.001000,0.070248,0.164382,0.010519,0.018506,0.230264,0.793634,0.817579,0.020073,0.196886,0.835057,0.524000,0.836842,0.843182
3,0.229950,0.801209,0.989372,0.975511,0.001000,0.061156,0.145708,0.006589,0.016497,0.295378,0.801830,0.842286,0.020190,0.198989,0.843013,0.554000,0.844612,0.865909
4,0.214773,0.803247,0.989443,0.975988,0.001000,0.056980,0.137180,0.005319,0.015294,0.320247,0.805137,0.833582,0.020284,0.198554,0.845058,0.570000,0.846620,0.859091
5,0.202389,0.799070,0.989462,0.976185,0.001000,0.052311,0.131264,0.004370,0.014443,0.354352,0.800580,0.854003,0.020167,0.197732,0.841909,0.602000,0.843186,0.870455
6,0.192632,0.808815,0.989486,0.975992,0.001000,0.049223,0.125711,0.004011,0.013686,0.392035,0.809470,0.837744,0.020190,0.200329,0.850335,0.614000,0.851657,0.863636
7,0.187025,0.810283,0.989446,0.975874,0.001000,0.047305,0.123032,0.003302,0.013386,0.401081,0.810390,0.833091,0.020367,0.200705,0.851075,0.606000,0.852489,0.859091
8,0.181981,0.811735,0.989490,0.976292,0.001000,0.046125,0.120056,0.002982,0.012818,0.450228,0.811789,0.847207,0.020226,0.200893,0.852862,0.632000,0.854093,0.868182
9,0.177601,0.814672,0.989514,0.976618,0.001000,0.044513,0.117745,0.002858,0.012485,0.472522,0.814732,0.844076,0.020355,0.201269,0.855095,0.616000,0.856457,0.868182
10,0.175442,0.814586,0.989464,0.976900,0.001000,0.044394,0.116512,0.002373,0.012163,0.499425,0.815608,0.839117,0.020508,0.201199,0.855259,0.646000,0.856481,0.859091
11,0.172263,0.812624,0.989485,0.977009,0.001000,0.043543,0.114372,0.002258,0.012091,0.478868,0.816065,0.842985,0.020367,0.201222,0.854813,0.628000,0.856077,0.870455
12,0.167796,0.816788,0.989403,0.976632,0.001000,0.042703,0.111449,0.002029,0.011615,0.504668,0.817792,0.859090,0.020496,0.201833,0.858703,0.644000,0.859867,0.881818
13,0.168051,0.817700,0.989475,0.987102,0.001000,0.042544,0.112120,0.001794,0.011593,0.476887,0.818679,0.861876,0.020484,0.202209,0.857621,0.626000,0.858905,0.877273
14,0.163546,0.818093,0.989466,0.977051,0.001000,0.041518,0.109007,0.001787,0.011234,0.521224,0.820070,0.852144,0.020484,0.201833,0.859255,0.650000,0.860390,0.879545
15,0.161261,0.821568,0.989476,0.986632,0.000100,0.041270,0.107331,0.001656,0.011003,0.514718,0.821660,0.849457,0.020555,0.202339,0.860360,0.632000,0.861625,0.877273
16,0.156718,0.821273,0.989492,0.976906,0.000100,0.039790,0.104563,0.001614,0.010752,0.510460,0.823265,0.848182,0.020602,0.202750,0.861864,0.642000,0.863098,0.875000
17,0.155883,0.823258,0.989466,0.986803,0.000100,0.040272,0.103599,0.001393,0.010619,0.517512,0.823328,0.852499,0.020566,0.202821,0.862475,0.646000,0.863681,0.877273
18,0.156697,0.822450,0.989455,0.976942,0.000100,0.040427,0.104148,0.001463,0.010659,0.518182,0.823467,0.857849,0.020613,0.202691,0.862769,0.646000,0.863954,0.884091
19,0.156545,0.822605,0.989445,0.976748,0.000100,0.040287,0.104060,0.001478,0.010720,0.516588,0.823661,0.851054,0.020543,0.202856,0.862510,0.646000,0.863693,0.881818
20,0.155230,0.823520,0.989471,0.986461,0.000100,0.039856,0.103370,0.001389,0.010615,0.520436,0.823598,0.850839,0.020625,0.203138,0.862240,0.648000,0.863443,0.877273
21,0.155838,0.823479,0.989499,0.986579,0.000100,0.039888,0.103820,0.001513,0.010616,0.511323,0.823556,0.851576,0.020496,0.202962,0.862299,0.642000,0.863538,0.877273
22,0.155517,0.823697,0.989485,0.986717,0.000100,0.040229,0.103337,0.001400,0.010550,0.523010,0.823769,0.853564,0.020637,0.202891,0.862757,0.650000,0.863918,0.884091
23,0.155219,0.822032,0.989463,0.976924,0.000100,0.039844,0.103231,0.001580,0.010564,0.514133,0.823684,0.849911,0.020508,0.202621,0.862017,0.644000,0.863253,0.875000
24,0.154310,0.823445,0.989457,0.986408,0.000100,0.039540,0.102879,0.001330,0.010561,0.521413,0.823528,0.848166,0.020660,0.202950,0.862675,0.644000,0.863930,0.872727
